[229 @    getattr()] getattr /ass7/yay/rsocket.h
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.h 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.h 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.h
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.h 0 1260
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /ass7/yay/documentation.txt
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/documentation.txt 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/documentation.txt 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/documentation.txt
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/documentation.txt 0 3765
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /ass7/yay/user1.c
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/user1.c 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/user1.c 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/user1.c
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/user1.c 0 1335
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /ass7/yay/user2.c
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/user2.c 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/user2.c 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/user2.c
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/user2.c 0 1206
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /ass7/yay/rsocket.c
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.c 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.c 8192 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.c
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/yay/rsocket.c 0 7786
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /ass7/mytraceroute_16CS10012.c
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/ass7/mytraceroute_16CS10012.c 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/ass7/mytraceroute_16CS10012.c 8192 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/mytraceroute_16CS10012.c
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/ass7/mytraceroute_16CS10012.c 0 6038
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /mayankc
[254 @    readdir()] readdir /mayankc
[229 @    getattr()] getattr /shirgure
[254 @    readdir()] readdir /shirgure
[229 @    getattr()] getattr /shirgure/ss.txt
[485 @   __init__()] fileinit ../myfs-replicas/10.5.16.206/shirgure/ss.txt 34816 <class 'tuple'>
[536 @       read()] read ../myfs-replicas/10.5.16.206/shirgure/ss.txt 4096 0
[515 @      get_v()] get_v ../myfs-replicas/10.5.16.206/shirgure/ss.txt
[530 @      get_v()] get_v ../myfs-replicas/10.5.16.206/shirgure/ss.txt 0 24
[540 @       read()] init vno = 0
[599 @       read()] vno read = 0
[677 @      flush()] flush
[631 @    _fflush()] _fflush 0
[691 @       lock()] lock
[631 @    _fflush()] _fflush 0
[661 @    release()] release
[229 @    getattr()] getattr /
[191 @   __init__()] got replica id
[472 @     fsinit()] fsinit
[412 @     access()] access / 4
[229 @    getattr()] getattr /.xdg-volume-info
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /autorun.inf
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /mayankc
[229 @    getattr()] getattr /.Trash-1000
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /shirgure
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
